variable,site,year,n_pairs,d,rmse
CWAD,PSREU,2021,19,0.99280766863216,425.9533948075769
CWAD,PSREU,2022,25,0.9827909969997789,726.1095444122168
CWAD,WFREC,2021,16,0.9925393453505804,287.62418117459134
CWAD,WFREC,2022,12,0.9816390924997479,691.7342983307288
SWAD,PSREU,2021,18,0.9843651512812998,427.40682627263266
SWAD,PSREU,2022,18,0.9877426190289,419.967857978999
SWAD,WFREC,2021,16,0.9832301581926912,274.27191825491207
SWAD,WFREC,2022,12,0.9338385495811009,914.9634507727617
