site,year,subset_name,situations,cultivar,n_group,n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score
PSREU,2021,keep_site_year_PSREU_2021,,NA,NA,3,19,0.99280766863216,425.9533948075769,18,0.9843651512812998,427.40682627263266,0.23754392173182784
PSREU,2022,keep_site_year_PSREU_2022,,NA,NA,4,25,0.9827909969997789,726.1095444122168,18,0.9877426190289,419.967857978999,0.5473163655342596
WFREC,2021,keep_site_year_WFREC_2021,,NA,NA,4,16,0.9925393453505804,287.62418117459134,16,0.9832301581926912,274.27191825491207,0.5797364376538848
WFREC,2022,keep_site_year_WFREC_2022,,NA,NA,4,12,0.9816390924997479,691.7342983307288,12,0.9338385495811009,914.9634507727617,1.2178557734950213
NA,NA,keep_cultivar_IH Williams,,IH Williams,NA,7,46,0.9852787635624776,676.0280669620901,41,0.9712271753137817,636.6105655417001,0.654759866106589
NA,NA,keep_cultivar_NWG 2730,,NWG 2730,NA,8,26,0.9784720674021271,320.5238242207679,23,0.9572504884316371,218.31349642577177,0.6194787781763713
NA,NA,keep_N0,,NA,N0,7,27,0.9777809086651332,329.13459653040377,25,0.9521336581604166,315.4919491584179,0.445755789693013
NA,NA,keep_Nplus,,NA,Nplus,8,45,0.9840215065572274,679.3602614039263,39,0.972310052275984,624.7873946399001,0.6394343623594205
