n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score,subset_type,included,excluded
8,38,0.9879142005665122,474.4331405454606,36,0.9764844563240318,441.9871667981715,0.19875145209703096,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,35,0.9876201356957934,467.1371071499803,33,0.9766837425420848,426.5300858534264,0.19880668103745278,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,36,0.9872410789477107,481.38159513879606,35,0.9759236479802633,446.16907168322035,0.19882149558280113,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,39,0.9870437163788343,466.53282451763783,36,0.9760998139644034,438.69798965604804,0.19897539340240045,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,35,0.9868198005757186,463.98273910729193,32,0.9762894775753627,431.1710519823359,0.19898716147168902,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_4; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,34,0.987486577950078,465.3179042585335,33,0.976587073153515,425.66575906156453,0.19935250220832812,subset_min_8,UFCI2101_1; UFCI2101_2; UFJA2101_1; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2201_2
8,39,0.9873228890928822,467.9856495461253,36,0.976426173563236,440.12181420214944,0.19935493545789237,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_4; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,36,0.9876216950836677,478.1605170313711,35,0.9762178945891491,445.9153451771361,0.19935828670532443,subset_min_8,UFCI2101_1; UFCI2101_2; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2
8,39,0.987194887469107,469.50062784243994,37,0.9745400277005345,447.1561605915264,0.19946612885196358,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,38,0.9868637155369466,470.0937837242499,35,0.9757607818851557,445.0714036523414,0.19953413325679611,subset_min_8,UFCI2101_1; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2201_2
