n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score,subset_type,included,excluded
10,46,0.9883841439219917,434.8611216116156,44,0.9765693642043903,411.7308848869126,0.22354642124362747,subset_min_10,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2201_2
13,66,0.9866247429137742,551.4017950699409,58,0.9836485973967298,403.537555486558,0.2566683638675457,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3,UFJA2201_2; UFJA2201_4
12,64,0.986554154314309,559.2793635286856,56,0.9835028762239884,410.27657279071474,0.2628514995393185,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1,UFJA2201_2; UFJA2201_3; UFJA2201_4
12,63,0.9867549420669895,560.4521268869023,55,0.9837453201242206,412.02780111205385,0.2639418808601263,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3,UFJA2101_4; UFJA2201_2; UFJA2201_4
12,63,0.9864745756416914,562.4191811447494,55,0.9833870825617296,414.0924483456695,0.26536871457413147,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3,UFCI2101_3; UFJA2201_2; UFJA2201_4
12,55,0.9891635225896606,409.9756475043859,50,0.9782052513329542,389.7717132752355,0.26558006602421846,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_2; UFJA2101_1; UFJA2201_2
12,63,0.9861843456323488,563.2415183993518,55,0.9831966465765672,413.2766273972804,0.2664554227820339,subset_min_12,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3,UFCI2101_2; UFJA2201_2; UFJA2201_4
14,68,0.9856612293004942,563.9290166926428,60,0.982372079412622,412.3699030483812,0.26681107121116554,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFJA2201_2
12,63,0.9863153994597634,563.9871310081169,55,0.9832870277095426,414.2663319632976,0.2672320443076553,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3,UFJA2101_3; UFJA2201_2; UFJA2201_4
12,54,0.9888877921515176,408.8562863315963,50,0.9779096885496318,388.1924329255061,0.2678679275009414,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_2; UFCI2201_3; UFJA2201_2
12,62,0.9878039255702218,538.8148744282555,54,0.9863982313127817,377.2477819169478,0.2678822193848737,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_3,UFJA2201_1; UFJA2201_2; UFJA2201_4
12,54,0.9894755805253601,409.8623962229945,51,0.9783391928330248,386.69901042253093,0.26853042462964494,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_2; UFCI2201_4; UFJA2201_2
13,64,0.9868213055068219,552.8069664380835,56,0.9850866665324449,388.2912616379957,0.2702383576880299,subset_min_12,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_3; UFJA2201_4,UFJA2201_1; UFJA2201_2
