variable,n_pairs,d,rmse,obs_mean,sim_mean
CHTD,112,0.9559647161342335,0.28976838827164364,0.9792521119849714,1.1205357142857142
CWAD,72,0.9874235977945676,573.6550108486099,2844.866052188552,2804.6111111111113
CWID,41,0.49133821828925406,0.15222769875200678,0.2900611788617886,0.19390243902439025
GWAD,22,0.7905648865450663,315.36265373468177,382.8664393939394,549.2727272727273
L#SD,35,0.9654577198197285,2.1534910748651384,14.577142857142857,14.505714285714285
RWAD,30,0.8373255767008299,346.3402004027309,345.87818383838385,537
SWAD,64,0.976337300552091,526.0761515267137,1771.1660900297618,1557.734375
